EAST,NORTH,Cu
251.4915152,42.14393939,0.202
348.7533333,177.0657576,0.196
352.4518182,203.8393939,0.568
419.7387879,151.3260606,0.22
337.4790909,242.5733333,0.502
353.5554545,237.1051515,0.286
413.9724242,130.8357576,0.268
389.2072727,186.3118182,0.218
363.6363636,177.7321212,0.288
357.4724242,131.0348485,0.082
474.6878788,237.4533333,0.288
18.46242424,144.7248485,0.608
354.2015152,190.5372727,0.154
408.7230303,129.3345455,0.322
337.0815152,155.0842424,0.108
330.3012121,165.3542424,0.174
329.0484848,60.81484848,0.07
324.1769697,54.96878788,0.13
339.129697,165.3642424,0.246
355.1163636,157.3509091,0.208
274.2087879,106.4781818,0.35
349.2106061,248.1409091,0.468
437.6045455,149.4472727,0.242
342.410303,243.15,0.204
295.6336364,135.1506061,0.258
298.3675758,115.2369697,0.066
256.0051515,61.28212121,0.216
378.400303,120.3769697,0.124
250.7657576,57.13636364,0.184
372.5642424,122.1366667,0.168
295.8821212,97.94787879,0.074
447.6954545,174.0833333,0.404
444.5539394,143.9590909,0.238
427.7221212,154.6269697,0.292
411.039697,169.2018182,0.358
370.5857576,115.3563636,0.148
304.0245455,88.94060606,0.066
307.6036364,114.2030303,0.08
330.559697,149.5069697,0.172
339.109697,247.7133333,0.62
340.9687879,176.7278788,0.266
324.0475758,47.66151515,0.074
389.1672727,123.7372727,0.078
322.5860606,104.390303,0.058
434.999697,157.3012121,0.25
339.8554545,236.4987879,0.706
349.1412121,230.0960606,0.304
348.3954545,209.4963636,0.312
381.7806061,185.5960606,0.18
344.2993939,247.9418182,0.17
444.9715152,151.4157576,0.192
373.8866667,185.0293939,0.64
370.8939394,211.3557576,0.106
357.6415152,164.2209091,0.264
249.4533333,48.66575758,0.21
443.0227273,180.5357576,0.322
401.2269697,139.1772727,0.352
357.1045455,105.5136364,0.124
382.8742424,121.639697,0.092
429.81,140.2609091,0.206
350.3639394,243.5078788,0.338
322.0493939,73.18242424,0.044
351.4575758,216.3166667,0.448
442.0087879,193.46,0.29
305.1878788,121.9378788,0.116
277.5690909,112.8806061,0.31
363.059697,153.9509091,0.14
405.2933333,128.5193939,0.268
346.0790909,202.5469697,0.21
428.7760606,134.9021212,0.138
356.9057576,230.0960606,0.24
439.5830303,186.9184848,0.314
444.7230303,139.7636364,0.19
365.8536364,127.0578788,0.166
347.3912121,141.6724242,0.112
444.5739394,166.6666667,0.32
338.7318182,145.7687879,0.1
452.2887879,167.5912121,0.352
320.7966667,43.43636364,0.162
394.1284848,125.0993939,0.104
423.9245455,183.5478788,0.204
413.1869697,149.5663636,0.376
333.7509091,66.74030303,0.176
450.7378788,181.450303,0.256
393.7209091,129.8815152,0.172
346.9042424,190.1393939,0.234
56.67909091,92.9669697,0.434
188.36,169.470303,0.516
158.8821212,47.01545455,0.41
317.6251515,39.66818182,0.074
399.0893939,227.74,0.56
113.3581818,74.00787879,0.56
118.0406061,221.3372727,0.444
73.07333333,115.1275758,0.782
87.93666667,150.4115152,0.702
54.32272727,172.5024242,0.472
24.01969697,147.6575758,0.496
412.9881818,209.3672727,0.568
154.3784848,139.8233333,0.206
464.5072727,229.3206061,0.402
96.67545455,171.8663636,0.81
53.68666667,205.7084848,0.962
25.72969697,111.319697,0.246
75.15121212,189.0657576,0.64
130.090303,3.211212121,0.522
16.48393939,203.6209091,0.638
156.6451515,180.3863636,0.228
